before,after
-4.07845,-4.23541
-3.91553,-3.9757
-3.92846,-4.07838
-4.46708,-4.1929
-3.93991,-4.03533
-3.24297,-3.82134
-4.23008,-4.23182
-3.1928,-4.22209
-4.34235,-3.99699
-3.99382,-3.75628
-3.97133,-4.06562
-4.32653,-4.13752
-3.80907,-4.06888
-3.73246,-4.04637
-3.65621,-3.95024
-4.8609,-4.11223
-3.83478,-4.25864
-4.51038,-4.30661
-4.73674,-4.09537
-4.28175,-4.2126
-3.14831,-3.90701
-4.48943,-3.89041
-4.66693,-3.81755
-4.56602,-4.13089
-4.76847,-4.39372
-4.29882,-4.25743
-4.3474,-3.95926
-3.42231,-3.93537
-3.82227,-3.88656
-3.66099,-4.00646
-3.8987,-4.09741
-3.67688,-3.97238
-4.17243,-4.06607
-4.78242,-4.17433
-4.24213,-4.44029
-4.07252,-3.93279
-2.75965,-4.02712
-4.82324,-4.13283
-3.7063,-4.19487
-3.49399,-4.07606
-3.4562,-4.32169
-3.58955,-3.79646
-3.6335,-4.26396
-3.98794,-4.10027
-4.27235,-4.14238
-3.70889,-3.88635
-4.41008,-4.09193
-4.38689,-4.21591
-3.46717,-4.00044
-3.47488,-3.97267
-4.78532,-3.83462
-4.13967,-4.14211
-3.14875,-4.00202
-4.4489,-4.15651
-3.93401,-4.32736
-4.27603,-4.3772
-4.60372,-4.10815
-3.53711,-3.93427
-3.45261,-4.0671
-3.91269,-4.10662
-4.88333,-4.23352
-3.95355,-3.96421
-4.80649,-4.29523
-4.05202,-4.13223
-4.86857,-4.26488
-4.59201,-4.00982
-4.42765,-4.13091
-3.82321,-3.64179
-4.03495,-4.06816
-2.79154,-4.14743
-4.59086,-4.06111
-4.68044,-4.10721
-3.87668,-4.26381
-3.82246,-4.08367
-3.77047,-4.05824
-4.06077,-4.10939
-4.31274,-4.06757
-3.63511,-3.87361
-4.45491,-4.41976
-4.6235,-4.0555
-4.23003,-4.0338
-4.77718,-4.11027
-3.97724,-4.00727
-3.52009,-3.92151
-3.86293,-4.09238
-3.33575,-4.08034
-3.47833,-4.28041
-4.62039,-4.04059
-4.48541,-4.15563
-3.75637,-4.33895
-3.87363,-4.02461
-4.21248,-4.2363
-4.04692,-3.93932
-3.67861,-4.24941
-3.73172,-4.11837
-4.32803,-4.08762
-4.6427,-3.94285
-3.17172,-4.18275
-3.93078,-4.23972
-4.8269,-4.07334
-3.96139,-3.78837
-3.31322,-3.91548
-3.82452,-4.23775
-4.39516,-4.09301
-3.08306,-4.19126
-3.49211,-3.98379
-4.84502,-4.00701
-3.63038,-3.95519
-3.75987,-3.93918
-3.08594,-4.02282
-3.96505,-3.99176
-4.68915,-4.13271
-3.86137,-3.90314
-4.31751,-4.14216
-2.92859,-4.07754
-4.43275,-4.06725
-3.76827,-4.20662
-3.82116,-4.05287
-3.41108,-3.94464
