"pe","ala"
-4.23541,2
-3.9757,2
-4.07838,2
-4.1929,3
-4.03533,2
-3.82134,2
-4.23182,3
-4.22209,3
-3.99699,3
-3.75628,1
-4.06562,2
-4.13752,3
-4.06888,2
-4.04637,2
-3.95024,3
-4.11223,2
-4.25864,2
-4.30661,3
-4.09537,3
-4.2126,2
-3.90701,1
-3.89041,2
-3.81755,2
-4.13089,3
-4.39372,3
-4.25743,3
-3.95926,2
-3.93537,2
-3.88656,2
-4.00646,2
-4.09741,2
-3.97238,2
-4.06607,3
-4.17433,3
-4.44029,3
-3.93279,2
-4.02712,3
-4.13283,3
-4.19487,3
-4.07606,2
-4.32169,3
-3.79646,2
-4.26396,3
-4.10027,3
-4.14238,2
-3.88635,2
-4.09193,3
-4.21591,3
-4.00044,1
-3.97267,2
-3.83462,2
-4.14211,3
-4.00202,2
-4.15651,3
-4.32736,3
-4.3772,3
-4.10815,3
-3.93427,2
-4.0671,3
-4.10662,3
-4.23352,3
-3.96421,2
-4.29523,3
-4.13223,3
-4.26488,3
-4.00982,3
-4.13091,3
-3.64179,2
-4.06816,2
-4.14743,3
-4.06111,3
-4.10721,3
-4.26381,3
-4.08367,3
-4.05824,3
-4.10939,2
-4.06757,3
-3.87361,2
-4.41976,3
-4.0555,2
-4.0338,3
-4.11027,2
-4.00727,2
-3.92151,2
-4.09238,2
-4.08034,3
-4.28041,3
-4.04059,2
-4.15563,3
-4.33895,3
-4.02461,2
-4.2363,3
-3.93932,2
-4.24941,3
-4.11837,3
-4.08762,2
-3.94285,2
-4.18275,2
-4.23972,3
-4.07334,2
-3.78837,2
-3.91548,2
-4.23775,3
-4.09301,3
-4.19126,3
-3.98379,2
-4.00701,2
-3.95519,2
-3.93918,2
-4.02282,3
-3.99176,3
-4.13271,3
-3.90314,2
-4.14216,3
-4.07754,2
-4.06725,2
-4.20662,2
-4.05287,3
-3.94464,2
-4.03643,2
-3.98134,2
-3.99118,2
-4.03614,2
-4.03756,2
-4.02002,2
