"pe","ala"
-4.07845,2
-3.91553,2
-3.92846,2
-4.46708,3
-3.93991,2
-3.24297,2
-4.23008,3
-3.1928,2
-4.34235,3
-3.99382,1
-3.97133,2
-4.32653,3
-3.80907,2
-3.73246,2
-3.65621,3
-4.8609,3
-3.83478,1
-4.51038,2
-4.73674,3
-4.28175,2
-3.14831,2
-4.48943,2
-4.66693,2
-4.56602,3
-4.76847,3
-4.29882,3
-4.3474,2
-3.42231,2
-3.82227,2
-3.66099,2
-3.8987,2
-3.67688,2
-4.17243,3
-4.78242,3
-4.24213,3
-4.07252,2
-2.75965,1
-4.82324,3
-3.7063,3
-3.49399,2
-3.4562,2
-3.58955,1
-3.6335,2
-3.98794,1
-4.27235,2
-3.70889,2
-4.41008,3
-4.38689,3
-3.46717,1
-3.47488,2
-4.78532,2
-4.13967,3
-3.14875,2
-4.4489,3
-3.93401,1
-4.27603,3
-4.60372,3
-3.53711,2
-3.45261,3
-3.91269,3
-4.88333,3
-3.95355,2
-4.80649,3
-4.05202,3
-4.86857,3
-4.59201,3
-4.42765,3
-3.82321,2
-4.03495,1
-2.79154,1
-4.59086,3
-4.68044,3
-3.87668,1
-3.82246,3
-3.77047,1
-4.06077,2
-4.31274,3
-3.63511,2
-4.45491,3
-4.6235,2
-4.23003,3
-4.77718,2
-3.97724,2
-3.52009,1
-3.86293,2
-3.33575,1
-3.47833,0
-4.62039,2
-4.48541,3
-3.75637,3
-3.87363,2
-4.21248,3
-4.04692,2
-3.67861,3
-3.73172,2
-4.32803,2
-4.6427,2
-3.17172,2
-3.93078,2
-4.8269,2
-3.96139,1
-3.31322,0
-3.82452,1
-4.39516,3
-3.08306,1
-3.49211,0
-4.84502,2
-3.63038,2
-3.75987,2
-3.08594,1
-3.96505,3
-4.68915,3
-3.86137,1
-4.31751,3
-2.92859,2
-4.43275,2
-3.76827,2
-3.82116,3
-3.41108,2
-3.52452,1
-3.23651,1
-4.44792,2
-3.99159,2
-3.84855,2
-4.22194,1
-4.29046,2
-3.77357,1
-3.79853,2
-3.69565,3
-4.86459,2
-3.68371,1
-4.13319,3
-4.16389,2
-4.3348,2
-4.0797,3
-4.02333,3
-3.16527,1
-4.81699,3
-3.83799,3
-4.72994,3
-4.24558,3
-3.81579,2
-4.53708,3
