"fno","id","sia","ala","k","ob","gh","pe","coord","neighpe"
1,288,5,2,5,4,1,-4.07845,54,-556.114
3,288,4,2,4,4,2,-3.91553,54,-552.991
4,288,5,2,5,4,1,-3.92846,51,-533.917
5,288,3,3,3,6,3,-4.46708,49,-504.401
7,288,5,2,5,4,1,-3.93991,52,-542.051
9,288,5,2,5,4,1,-3.24297,52,-546.011
11,288,3,3,3,6,3,-4.23008,51,-516.716
12,288,4,2,4,4,2,-3.1928,52,-545.203
13,288,4,3,4,6,2,-4.34235,49,-509.796
14,288,2,1,2,2,4,-3.99382,54,-553.126
16,288,5,2,5,4,1,-3.97133,51,-537.705
17,288,6,3,6,6,0,-4.32653,49,-514.685
18,288,4,2,4,4,2,-3.80907,54,-563.135
2,289,6,2,6,4,0,-3.73246,51,-548.531
3,289,4,3,4,6,2,-3.65621,49,-517.756
4,289,3,3,3,6,3,-4.8609,48,-500.026
6,289,2,1,2,2,4,-3.83478,51,-545.963
7,289,2,2,2,3,4,-4.51038,48,-511.136
8,289,5,3,5,6,1,-4.73674,49,-532.248
9,289,5,2,5,4,1,-4.28175,51,-557.843
14,289,5,2,5,4,1,-3.14831,52,-553.314
15,289,4,2,4,4,2,-4.48943,50,-530.805
16,289,2,2,2,4,4,-4.66693,50,-525.444
17,289,6,3,6,6,0,-4.56602,50,-524.416
18,289,4,3,4,6,2,-4.76847,46,-499.394
19,289,4,3,4,6,2,-4.29882,49,-519.859
20,289,3,2,3,4,3,-4.3474,53,-540.117
1,290,5,2,5,4,1,-3.42231,51,-546.678
2,290,5,2,5,4,1,-3.82227,51,-544.786
4,290,4,2,4,4,2,-3.66099,50,-538.851
5,290,4,2,4,4,2,-3.8987,52,-538.936
7,290,5,2,5,4,1,-3.67688,52,-552.561
9,290,4,3,4,6,2,-4.17243,49,-509.25
10,290,5,3,5,6,1,-4.78242,52,-540.746
11,290,4,3,4,6,2,-4.24213,49,-511.613
12,290,4,2,4,4,2,-4.07252,54,-581.647
13,290,4,1,4,2,2,-2.75965,53,-568.812
14,290,4,3,4,6,2,-4.82324,50,-513.577
15,290,5,3,5,6,1,-3.7063,51,-536.113
17,290,5,2,5,4,1,-3.49399,52,-559.002
18,290,4,2,4,4,2,-3.4562,51,-534.891
19,290,4,1,4,2,2,-3.58955,54,-564.27
20,290,5,2,5,4,1,-3.6335,52,-544.342
1,291,2,1,2,2,4,-3.98794,54,-553.194
2,291,3,2,3,4,3,-4.27235,52,-534.927
4,291,6,2,6,4,0,-3.70889,51,-538.841
5,291,4,3,4,6,2,-4.41008,51,-521.335
6,291,4,3,4,5,2,-4.38689,49,-508.243
8,291,2,1,2,2,4,-3.46717,54,-557.631
9,291,4,2,4,4,2,-3.47488,51,-534.562
10,291,3,2,3,4,3,-4.78532,51,-525.564
11,291,4,3,4,6,2,-4.13967,50,-514.202
12,291,5,2,5,4,1,-3.14875,53,-561.744
13,291,5,3,5,6,1,-4.4489,51,-537.666
14,291,4,1,4,2,2,-3.93401,53,-557.313
